"Date","Open","High","Low","Close","Volume","Adj Close"
2017-01-10,115.8034,115.8534,115.0534,115.1034,5e+05,115.1034
2017-01-11,115.3507,115.7507,114.4707,114.5707,2418000,114.5707
2017-01-12,115.4479,115.7379,114.5979,114.7779,11107000,114.7779
2017-01-13,114.8252,115.0152,114.5952,114.8152,606000,114.8152
2017-01-16,114.807,115.367,112.657,112.847,7378000,112.847
2017-01-17,113.2142,113.2142,112.6242,112.8842,2382000,112.8842
2017-01-18,113.0115,113.0115,112.4815,112.5415,8683000,112.5415
2017-01-19,112.7688,112.9288,112.4388,112.6988,5422000,112.6988
2017-01-20,112.566,113.006,112.556,112.986,6233000,112.986
2017-01-23,113.0178,113.2178,112.5078,112.9178,7788000,112.9178
2017-01-24,112.7251,112.8351,112.5251,112.7751,1008000,112.7751
2017-01-25,112.5223,112.7923,112.3323,112.6723,599000,112.6723
2017-01-26,112.8596,113.3096,112.8596,113.2096,874000,113.2096
2017-02-03,112.8877,112.9277,112.5377,112.6377,2836000,112.6377
2017-02-06,112.6295,112.6895,112.4795,112.5495,4372000,112.5495
2017-02-07,112.5467,112.7367,112.2967,112.4067,4562000,112.4067
2017-02-08,112.634,112.634,112.344,112.474,7219000,112.474
2017-02-09,112.7512,113.1412,112.3312,112.7712,3120000,112.7712
2017-02-10,112.9385,113.2485,112.7785,113.0785,7354000,113.0785
2017-02-13,113.3603,113.6303,113.0103,113.3103,2009000,113.3103
2017-02-14,113.3075,113.3575,113.2475,113.2675,1538000,113.2675
2017-02-15,113.6248,113.6248,112.8648,112.9148,3002000,112.9148
2017-02-16,112.7521,112.9921,112.5821,112.6621,6555000,112.6621
2017-02-17,112.9993,112.9993,112.3493,112.4493,7046000,112.4493
2017-02-20,112.4411,112.6311,112.2911,112.3411,4391000,112.3411
2017-02-21,112.6384,112.8384,112.0984,112.3384,15559000,112.3384
2017-02-22,112.3356,112.3756,112.1756,112.3256,1222000,112.3256
2017-02-23,112.3929,112.5829,112.1429,112.4429,4464000,112.4429
2017-02-24,112.2001,112.7801,112.1801,112.7301,2341000,112.7301
2017-02-27,112.3919,112.7919,112.3919,112.6219,4378000,112.6219
2017-02-28,112.2792,112.6792,112.2792,112.4392,7723000,112.4392
2017-03-01,112.5164,112.5264,112.3164,112.4064,2317000,112.4064
2017-03-02,112.2637,112.3137,111.8037,111.9637,4800000,111.9637
2017-03-03,111.611,111.911,111.581,111.601,4136000,111.601
2017-03-06,111.6827,112.0027,111.6827,111.9727,1674000,111.9727
2017-03-07,111.78,112.15,111.78,111.9,751000,111.9
2017-03-08,111.8973,111.8973,111.1973,111.6573,4138000,111.6573
2017-03-09,111.6445,111.6545,111.1945,111.3945,2859000,111.3945
2017-03-10,111.6418,111.6418,111.2018,111.2218,217000,111.2218
2017-03-13,111.2136,111.4036,111.0936,111.3936,2593000,111.3936
2017-03-14,111.3708,111.3708,110.9408,111.0308,3904000,111.0308
